component_group,component_name,forecast_mean,analysis_mean,bias_mean,mae
hourly_component,temp,11.053,10.89,0.164,3.221
hourly_component,dewpoint,17.399,17.326,0.073,0.499
hourly_component,wind,5.723,5.137,0.586,2.152
hourly_component,cloud,6.775,8.539,-1.764,2.337
hourly_component,precip,14.861,14.858,0.004,0.281
hourly_component,interaction,-2.192,-1.677,-0.515,2.104
hourly_component,hazard_penalty,0.726,1.828,-1.102,1.741
daily_aggregate,best_3hr,61.67,60.728,0.942,7.487
daily_aggregate,best_6hr,58.339,57.181,1.158,7.526
daily_aggregate,daytime_weighted_mean,52.894,51.231,1.662,7.238
daily_aggregate,reliability_score,39.522,35.479,4.042,6.057
daily_aggregate,disruption_penalty,0.085,0.422,-0.337,0.484
