component_group,component_name,forecast_mean,analysis_mean,bias_mean,mae
hourly_component,temp,11.434,10.89,0.545,2.678
hourly_component,dewpoint,17.358,17.326,0.032,0.528
hourly_component,wind,5.19,5.137,0.053,1.599
hourly_component,cloud,5.983,8.539,-2.555,2.856
hourly_component,precip,14.906,14.858,0.048,0.201
hourly_component,interaction,-2.971,-1.677,-1.294,1.767
hourly_component,hazard_penalty,1.02,1.828,-0.808,1.24
daily_aggregate,best_3hr,60.938,60.728,0.21,5.454
daily_aggregate,best_6hr,57.153,57.181,-0.028,5.657
daily_aggregate,daytime_weighted_mean,50.881,51.231,-0.351,5.92
daily_aggregate,reliability_score,38.829,35.479,3.349,5.431
daily_aggregate,disruption_penalty,0.164,0.422,-0.258,0.365
