best_3hr,best_6hr,daytime_weighted_mean,reliability_score,disruption_penalty,daily_score,category,prime_measurable_precip_fraction,prime_heavy_precip_fraction,prime_thunder_fraction,prime_gusty_fraction,prime_score_drop_fraction,prime_tail_clean_fraction,daytime_mean_dewpoint,daytime_mean_gust,explanation,sample_name,requested_lat,requested_lon,resolved_lat,resolved_lon
81.0,81.0,79.2,96.2,0.0,83.2,Ideal,0.0,0.0,0.0,0.0,0.0,1.0,57.3,5.9,Excellent temperature profile. Clean prime hours preserved high reliability.,best_point,35.0,-64.5,35.0,-64.5
26.5,25.2,21.5,25.0,4.0,20.3,Poor,0.0,0.0,0.0,0.0,0.0,1.0,44.5,20.7,Temperature profile limited outdoor comfort. Persistent overcast suppressed elite potential. Smoke or low visibility suppressed elite potential.,region_center,42.25,-74.25,42.5,-74.0
