best_3hr,best_6hr,daytime_weighted_mean,reliability_score,disruption_penalty,daily_score,category,prime_measurable_precip_fraction,prime_heavy_precip_fraction,prime_thunder_fraction,prime_gusty_fraction,prime_score_drop_fraction,prime_tail_clean_fraction,daytime_mean_dewpoint,daytime_mean_gust,explanation,sample_name,requested_lat,requested_lon,resolved_lat,resolved_lon
80.5,80.1,74.0,80.0,0.0,78.2,Ideal,0.0,0.0,0.0,0.0,0.0,1.0,0.9,12.1,Balanced thermodynamics and clean prime hours supported a solid outdoor day.,best_point,35.0,-115.5,35.0,-115.5
54.7,52.8,51.1,25.0,0.0,47.7,Fair,0.0,0.0,0.0,0.0,0.0,1.0,12.7,6.6,Temperature profile limited outdoor comfort.,region_center,43.0,-107.75,42.5,-108.0
