best_3hr,best_6hr,daytime_weighted_mean,reliability_score,disruption_penalty,daily_score,category,prime_measurable_precip_fraction,prime_heavy_precip_fraction,prime_thunder_fraction,prime_gusty_fraction,prime_score_drop_fraction,prime_tail_clean_fraction,daytime_mean_dewpoint,daytime_mean_gust,explanation,sample_name,requested_lat,requested_lon,resolved_lat,resolved_lon
90.5,89.4,80.6,87.2,0.0,86.4,Ideal,0.0,0.0,0.0,0.0,0.107,1.0,46.7,8.4,Balanced thermodynamics and clean prime hours supported a solid outdoor day.,best_point,23.0,-101.5,23.0,-101.5
38.4,32.0,25.7,25.0,5.7,24.5,Poor,0.0,0.0,0.0,0.0,0.14,1.0,37.7,19.4,Temperature profile limited outdoor comfort. Persistent overcast suppressed elite potential.,region_center,37.0,-98.25,38.0,-99.0
