best_3hr,best_6hr,daytime_weighted_mean,reliability_score,disruption_penalty,daily_score,category,prime_measurable_precip_fraction,prime_heavy_precip_fraction,prime_thunder_fraction,prime_gusty_fraction,prime_score_drop_fraction,prime_tail_clean_fraction,daytime_mean_dewpoint,daytime_mean_gust,explanation,sample_name,requested_lat,requested_lon,resolved_lat,resolved_lon
82.9,81.8,80.7,96.0,0.0,84.3,Ideal,0.0,0.0,0.0,0.0,0.0,1.0,49.7,14.6,Excellent temperature profile. Persistent overcast suppressed elite potential. Clean prime hours preserved high reliability.,best_point,31.5,-114.5,31.5,-114.5
50.7,50.7,50.0,25.0,0.0,45.9,Fair,0.0,0.0,0.0,0.0,0.0,1.0,4.3,11.6,Temperature profile limited outdoor comfort.,region_center,40.0,-120.5,39.0,-119.5
