best_3hr,best_6hr,daytime_weighted_mean,reliability_score,disruption_penalty,daily_score,category,prime_measurable_precip_fraction,prime_heavy_precip_fraction,prime_thunder_fraction,prime_gusty_fraction,prime_score_drop_fraction,prime_tail_clean_fraction,daytime_mean_dewpoint,daytime_mean_gust,explanation,sample_name,requested_lat,requested_lon,resolved_lat,resolved_lon
86.8,84.1,80.2,92.3,0.0,84.9,Ideal,0.0,0.0,0.0,0.0,0.14,1.0,35.0,11.6,Excellent temperature profile. Clean prime hours preserved high reliability.,best_point,34.0,-117.5,34.0,-117.5
56.2,51.4,49.7,25.0,0.0,47.1,Fair,0.0,0.0,0.0,0.0,0.0,1.0,18.8,14.7,Temperature profile limited outdoor comfort.,region_center,36.25,-112.5,36.75,-111.5
